"channel_id","videos_n","politics_n","hateful_n","misinfo_n","neutral_n","conservative_n","moderate_n","liberal_n","videos_log","politics_log","hateful_log","misinfo_log","neutral_log","conservative_log","moderate_log","liberal_log","politics_prop","hateful_prop","misinfo_prop","neutral_prop","conservative_prop","moderate_prop","liberal_prop","vidtopic_intl_affairs","vidtopic_gov_operations","vidtopic_civil_lib","vidtopic_dom_commerce","vidtopic_no_topic","vidtopic_law_crime","vidtopic_gun_control","vidtopic_defense","vidtopic_economy","vidtopic_technology","vidtopic_health","vidtopic_immigration","vidtopic_housing","vidtopic_transport","vidtopic_education","vidtopic_environment","vidtopic_energy","vidtopic_labor","vidtopic_public_lands","vidtopic_soc_welfare","vidtopic_foreign_trade","vidtopic_agric","vidtopic_intl_affairs_prop","vidtopic_gov_operations_prop","vidtopic_civil_lib_prop","vidtopic_dom_commerce_prop","vidtopic_no_topic_prop","vidtopic_law_crime_prop","vidtopic_gun_control_prop","vidtopic_defense_prop","vidtopic_economy_prop","vidtopic_technology_prop","vidtopic_health_prop","vidtopic_immigration_prop","vidtopic_housing_prop","vidtopic_transport_prop","vidtopic_education_prop","vidtopic_environment_prop","vidtopic_energy_prop","vidtopic_labor_prop","vidtopic_public_lands_prop","vidtopic_soc_welfare_prop","vidtopic_foreign_trade_prop","vidtopic_agric_prop","vidtopic_intl_affairs_log","vidtopic_gov_operations_log","vidtopic_civil_lib_log","vidtopic_dom_commerce_log","vidtopic_no_topic_log","vidtopic_law_crime_log","vidtopic_gun_control_log","vidtopic_defense_log","vidtopic_economy_log","vidtopic_technology_log","vidtopic_health_log","vidtopic_immigration_log","vidtopic_housing_log","vidtopic_transport_log","vidtopic_education_log","vidtopic_environment_log","vidtopic_energy_log","vidtopic_labor_log","vidtopic_public_lands_log","vidtopic_soc_welfare_log","vidtopic_foreign_trade_log","vidtopic_agric_log","channel_country","channel_view_count","channel_subscriber_count","channel_video_count","channel_society","channel_sociology","channel_knowledge","channel_politics","channel_religion","channel_entertainment","channel_film","channel_televisionprogram","channel_technology","channel_military","channel_vehicle","channel_hobby","channel_food","channel_tourism","channel_humour","channel_pet","channel_fashion","channel_business","channel_performingarts","channel_anygame","channel_anymusic","channel_anysports","channel_anyphysichealth","channel_ideostd","channel_elitetype","channel_ideocat","channel_susp","channel_view_count_log","channel_subscriber_count_log","channel_video_count_long","channel_days_creation","channel_days_creation_log"
"UCWt0KYBJkfjrMZV-yu2IRlQ",45,42,44,0,0,14,9,1,3.8286413964891,3.76120011569356,3.80666248977032,0,0,2.70805020110221,2.30258509299405,0.693147180559945,0.9333,0.9778,0,0,0.3111,0.2,0.0222,0,2,32,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444,0.7111,0,0.0444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09861228866811,3.49650756146648,0,1.09861228866811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NULL",243970,4780,254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84242616319599,"Other","Conservative",0,12.4048046447528,8.4724050086261,5.54126354515843,3302,8.10258642539079
"UCWt3Cx6RrHX86_yF4I7f1LA",162,156,3,0,0,0,147,0,5.09375020080676,5.05624580534831,1.38629436111989,0,0,0,4.99721227376411,0,0.963,0.0185,0,0,0,0.9074,0,1,0,0,108,1,0,0,0,34,0,0,0,0,0,0,0,3,0,0,0,0,0,0.0062,0,0,0.6667,0.0062,0,0,0,0.2099,0,0,0,0,0,0,0,0.0185,0,0,0,0,0,0.693147180559945,0,0,4.69134788222914,0.693147180559945,0,0,0,3.55534806148941,0,0,0,0,0,0,0,1.38629436111989,0,0,0,0,0,"US",13522380,258000,750,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284941495155005,"Other","Moderate",0,16.4198567225411,12.4607187398652,6.62140565176413,2983,8.00101996132365
"UCWtu89uGn8KHtZSZQmTg61Q",180,130,5,0,36,9,25,34,5.19849703126583,4.87519732320115,1.79175946922805,0,3.61091791264422,2.30258509299405,3.25809653802148,3.55534806148941,0.7222,0.0278,0,0.2,0.05,0.1389,0.1889,2,29,9,8,21,0,2,1,1,3,0,1,1,0,13,0,0,0,5,0,0,1,0.0111,0.1611,0.05,0.0444,0.1167,0,0.0111,0.0056,0.0056,0.0167,0,0.0056,0.0056,0,0.0722,0,0,0,0.0278,0,0,0.0056,1.09861228866811,3.40119738166216,2.30258509299405,2.19722457733622,3.09104245335832,0,1.09861228866811,0.693147180559945,0.693147180559945,1.38629436111989,0,0.693147180559945,0.693147180559945,0,2.63905732961526,0,0,0,1.79175946922805,0,0,0.693147180559945,"US",13977766,30000,4340,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320085200593494,"Other","Moderate",0,16.4529785538289,10.3089859934221,8.37586001529959,6215,8.73488189204748
"UCWu-IOxbeSD-MRM2Q87ZF0A",21,14,8,0,0,9,0,2,3.09104245335832,2.70805020110221,2.19722457733622,0,0,2.30258509299405,0,1.09861228866811,0.6667,0.381,0,0,0.4286,0,0.0952,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4286,0,0,0,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30258509299405,0,0,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,"US",119626434,704000,158,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.338268024181633,"Other","Moderate",0,18.5998844034857,13.4645350555937,5.06890420222023,2182,7.68845535654994
"UCWubnBV028_4rVoDPt7FpNQ",114,111,46,0,0,70,11,15,4.74493212836325,4.71849887129509,3.85014760171006,0,0,4.26267987704132,2.484906649788,2.77258872223978,0.9737,0.4035,0,0,0.614,0.0965,0.1316,1,87,4,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0.7632,0.0351,0,0.0175,0,0,0.0088,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,4.47733681447821,1.6094379124341,0,1.09861228866811,0,0,0.693147180559945,1.6094379124341,0,0,0,0,0,0,0,0,0,0,0,0,0,"US",3206172,43900,434,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61044384543687,"Other","Conservative",0,14.9805885720183,10.6896923778471,6.07534603108868,3887,8.26565016558033
"UCWv114UTADTuZBweshlMa1g",156,11,2,0,0,0,1,8,5.05624580534831,2.484906649788,1.09861228866811,0,0,0,0.693147180559945,2.19722457733622,0.0705,0.0128,0,0,0,0.0064,0.0513,1,0,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0064,0,0.0128,0,0.0321,0,0.0064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,1.09861228866811,0,1.79175946922805,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CA",8201846,47100,1415,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.840911739704302,"Other","Liberal",0,15.9198699307733,10.7600495112016,7.25559127425367,3260,8.08978917578932
"UCWwbK_KGt6PiwT8sEaPaSFA",7,3,1,0,1,0,1,1,2.07944154167984,1.38629436111989,0.693147180559945,0,0.693147180559945,0,0.693147180559945,0.693147180559945,0.4286,0.1429,0,0.1429,0,0.1429,0.1429,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1429,0,0,0.1429,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,0,0,0.693147180559945,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,"CA",1406904,4150,135,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23632438813006,"Other","Conservative",0,14.1569028142718,8.33110454805304,4.91265488573605,660,6.49375383985169
"UCWwn7gz0jYWpcEtymESrH2A",29,27,1,0,0,2,21,2,3.40119738166216,3.3322045101752,0.693147180559945,0,0,1.09861228866811,3.09104245335832,1.09861228866811,0.931,0.0345,0,0,0.069,0.7241,0.069,0,3,0,0,2,15,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1034,0,0,0.069,0.5172,0.1034,0,0,0,0,0.1034,0,0,0,0,0,0,0,0,0,0,0,1.38629436111989,0,0,1.09861228866811,2.77258872223978,1.38629436111989,0,0,0,0,1.38629436111989,0,0,0,0,0,0,0,0,0,0,"US",364909,8800,167,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.237715674949162,"Other","Moderate",0,12.8074060268175,9.08262063037381,5.12396397940326,6550,8.78737298873188
"UCWxTJ-zRHUHfP84jfbCvquA",235,197,57,0,16,50,77,18,5.46383180502561,5.28826703069454,4.06044301054642,0,2.83321334405622,3.93182563272433,4.35670882668959,2.94443897916644,0.8383,0.2426,0,0.0681,0.2128,0.3277,0.0766,1,10,27,0,28,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043,0.0426,0.1149,0,0.1191,0.5191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.39789527279837,3.3322045101752,0,3.36729582998647,4.81218435537242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"US",5107079,36600,1276,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292443132936139,"Other","Moderate",0,15.4461383702809,10.5078308414206,7.15226885603254,2532,7.83715965000168
"UCWyWFV9K5Ei0jiTttfnDpXQ",166,25,10,0,0,4,10,1,5.11799381241676,3.25809653802148,2.39789527279837,0,0,1.6094379124341,2.39789527279837,0.693147180559945,0.1506,0.0602,0,0,0.0241,0.0602,0.006,0,1,11,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.0663,0,0.0663,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693147180559945,2.484906649788,0,2.484906649788,0,0,0,0,0.693147180559945,0,0,0,0,0,0,0,0,0,0,0,0,"US",31344669,136000,1599,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835369880519593,"Other","Conservative",0,17.2605547946399,11.8204175176323,7.37775890822787,6176,8.7285879956959
